family,source_files,source_authority,transform_script,generated_data,html_generator,output_paths,build_entrypoint,populate_data_role,automatic_or_manual,tracked_source,tracked_generated,drift_possible,silent_deletion_risk,orphan_output_risk,duplicate_id_risk,status,evidence
Academy,scripts/data/academy-{fundamentals,sanitizers,testing,water-balance,troubleshooting,hot-tubs,equipment,vacation-rentals}.js (8 files),Ambiguous -- see SOURCE-OF-TRUTH-MATRIX,scripts/populate-data.js -> scripts/generate-academy.js,data/academy.json,scripts/generate-academy.js,academy/*.html,npm run build (generate-academy.js only reads existing data/academy.json),INPUT (populate-data.js reads the 8 files and OVERWRITES data/academy.json),MANUAL (populate-data.js not called by run-all-generators.js or npm run build),YES,YES,YES -- confirmed (fund-07/fund-08 would be deleted on next populate-data.js run),YES -- confirmed (2 live pages currently orphaned from source),NONE currently (0 duplicate ids in current JSON; historical duplicate 'fund-06' collision existed 7M-7Q, fixed by ID rename not source registration),DRIFT_FOUND,"ACADEMY-RECONCILIATION.csv; GIT-HISTORY-FINDINGS.md; populate-data.js header comment self-contradiction"
Formulas,scripts/data/formulas-data.js,Single file -- low ambiguity in practice,scripts/populate-data.js -> scripts/generate-formulas.js,data/formulas.json,scripts/generate-formulas.js,formulas/*.html,npm run build (generate-formulas.js only reads existing data/formulas.json),INPUT (same bifurcation risk as academy; confirmed clean only because no one has hand-edited formulas.json directly),MANUAL,YES,YES,YES (architecturally identical risk to academy; just has not manifested),NO evidence found this phase (0 orphans),NO evidence found this phase,NONE found,CLEAN (architecturally at-risk),"Verified via node require() diff: 9/9 records match exactly, 0 orphans either direction"
Glossary,scripts/data/glossary-terms.js,Single file -- low ambiguity in practice,scripts/populate-data.js -> scripts/generate-glossary.js,data/glossary.json,scripts/generate-glossary.js,glossary/*.html,npm run build (generate-glossary.js only reads existing data/glossary.json),INPUT (same bifurcation risk as academy),MANUAL,YES,YES,YES (architecturally identical risk to academy; just has not manifested),NO evidence found this phase (0 orphans),NO evidence found this phase,NONE found,CLEAN (architecturally at-risk),"Verified via node require() diff: 100/100 records match exactly, 0 orphans either direction"
Reference,scripts/data/reference-pages.js,Single file -- low ambiguity in practice,scripts/populate-data.js -> scripts/generate-reference.js,data/reference.json,scripts/generate-reference.js,reference/*.html,npm run build (generate-reference.js only reads existing data/reference.json),INPUT (same bifurcation risk as academy),MANUAL,YES,YES,YES (architecturally identical risk to academy; just has not manifested),NO evidence found this phase (0 orphans),NO evidence found this phase,NONE found,CLEAN (architecturally at-risk),"Verified via node require() diff: 25/25 records match exactly, 0 orphans either direction"
Entities,"scripts/data/entities-{chemicals,measurements,equipment,processes,problems,remaining}.js, entity-synonyms.js, entity-relationships.js",Single authoritative source -- direct one-way pipeline,scripts/generate-entities.js (direct, no intermediate manual step),data/graph/entity-index.json (and related entity JSON),scripts/generate-entity-pages.js,entities/*.html,npm run build (generate-entities.js IS in run-all-generators.js, line 94),N/A -- not part of populate-data.js,AUTOMATIC (every build),YES,YES,NO -- no separate hand-editable intermediate exists,NO,NO,NONE found (0 duplicate ids across 104 records),CLEAN,"generate-entities.js requires entities-*.js directly and writes JSON in the same automatic build step; node dedupe check: 0 collisions"
Datasets,"scripts/data/dataset-{core,chemical-ranges,chemical-properties,dosage-matrices,compatibility,supplemental}.js",Single authoritative source -- direct one-way pipeline,scripts/generate-datasets.js (direct, no intermediate manual step),data/datasets/*.json (15 canonical files),N/A (data layer, not directly rendered),N/A (consumed by entity/calculator layers),npm run build (generate-datasets.js IS in run-all-generators.js, line 88),N/A,AUTOMATIC (every build),YES,YES,NO,NO,NO,NONE found (0 duplicate ids in dosage-matrices, the highest-risk dataset),CLEAN,"generate-datasets.js requires dataset-*.js directly; dosage-matrices dedupe check: 0 collisions across 13 records"
Trust,"scripts/data/trust-{confidence,sources,editorial,methodology,formulas,revisions,calculator-metadata}.js",Single authoritative source -- direct one-way pipeline,scripts/generate-trust.js (direct, no intermediate manual step),data/trust/*.json,scripts/generate-trust.js (also writes HTML directly),formulas/*, editorial/methodology/provenance/revision pages,npm run build (generate-trust.js IS in run-all-generators.js, line 144),N/A,AUTOMATIC (every build),YES,YES,NO,NO,NO,Not deduped this phase (low id-collision surface -- 7 files each covering a distinct concern),CLEAN,"generate-trust.js requires trust-*.js directly, run-all-generators.js line 144"
Chemistry evidence,"scripts/data/chemistry-{claims,ranges,sources,knowledge}.js, chemistry-claim-family-map.js",Single authoritative source -- no compiled JSON intermediate exists at all,N/A -- consumed directly at build/validate time by generate-entity-pages.js and 25+ validator/phase scripts,None -- no data/chemistry*.json exists,scripts/generate-entity-pages.js (citations only; no dedicated chemistry HTML generator),Citations rendered inline on entities/academy/reference pages,npm run build (via generate-entity-pages.js, which requires chemistry-*.js directly),N/A -- never touched by populate-data.js,AUTOMATIC (every build; also read live by every validator),YES (direct require, no cache),YES,NO -- no intermediate artifact exists to go stale,NO,NO,Not deduped this phase (validate-chemistry-knowledge.js already checks structural integrity and ran clean in Phase 7X's regression sweep),CLEAN,"grep across scripts/ found no data/chemistry*.json; 25+ scripts require chemistry-*.js directly"
Programmatic clusters (chlorine/shock/ph/hot-tub/problem/explanation/behavior),scripts/generators/{chlorine,ph,hot-tub,problem,explanation,behavior}-cluster-config.js (per-cluster, inline data),Single authoritative source -- source IS the generator's own config file,scripts/generators/generate-{chlorine,shock,ph,hot-tub,problem,explanation,behavior}-pages.js (self-contained, no external data/*.js dependency),None -- no JSON intermediate,Same generator script (single-step),programmatic/{chlorine,shock,ph,hot-tubs,problems,explanations,behavior}/*.html,npm run build (all 7 generators ARE in run-all-generators.js, lines 36-46),N/A -- never touched by populate-data.js,AUTOMATIC (every build),YES,N/A (no separate JSON artifact),NO,NO,NO,Confirmed in Phase 7X (shock family) and this phase (all 6 others via require() inspection),CLEAN,"Phase 7X SHOCK-IMPLEMENTATION.md; this phase's require() trace of all 6 remaining *-cluster-config.js requires"
Authority guides,Inline template literals inside scripts/generate-authority-guides.js itself (no separate scripts/data/*.js file),Single authoritative source -- source IS the generator file,scripts/generate-authority-guides.js (self-contained),None -- no JSON intermediate,Same generator script,guides/*.html (select pages -- not all guides are generator-controlled),npm run build (IS in run-all-generators.js, line 49),N/A,AUTOMATIC (every build),YES,N/A,NO,NO,N/A (no id field; slug-keyed array, checked no duplicate slugs within the file during Phase 7X edit),CLEAN,"Confirmed directly in Phase 7V and Phase 7X (guides/ph/how-to-lower-pool-ph.html and guides/chlorine/free-chlorine-vs-total-chlorine.html both traced to this exact pattern)"
Navigation index,"data/navigation.json is written by MULTIPLE scripts: generate-hubs.js, generate-navigation.js, generate-indexing.js, generate-freshness.js, generate-search-index.js",Multi-writer -- NOT a simple one-way pipeline,"generate-hubs.js (reads+writes), generate-navigation.js (authoritative writer), 3 others (incidental writers)",data/navigation.json,N/A (consumed by generate-hubs.js and others),Hub pages,npm run build -- KNOWN pre-existing ordering bug: generate-hubs.js (line 110) runs BEFORE generate-navigation.js (line 113) in run-all-generators.js, so generate-hubs.js reads stale navigation data on a single build pass (documented since Phase 7V; requires 2 build passes to converge),N/A -- unrelated to populate-data.js,AUTOMATIC but ORDER-DEPENDENT (multi-pass required),YES,YES (data/navigation.json is generated -- not meant to be hand-edited -- but multiple writers with an ordering bug create the same class of risk as an ambiguous source),Possible in principle but not observed this phase (out of scope -- pre-existing, separately documented issue),Not evaluated this phase (separate defect class -- ordering, not source ambiguity),Not applicable (no per-record id scheme),AMBIGUOUS (separate defect, documented since Phase 7V, NOT investigated further this phase per Section 14's scope boundary),"Phase 7V CONTENT-AUDIT.md; this phase's Section 14 build-order trace (BUILD-PIPELINE.md)"
Orphaned legacy dosage JSON,"None -- data/chlorine-dosage.json, data/ph-adjustment.json, data/shock-dosage.json have no source file at all",GENERATED ARTIFACT ONLY -- but the generator that produced them (Phase 2-4 era) no longer exists or is no longer invoked,None found -- last touched in commit f1e5a04 (Phase 2-4),"data/chlorine-dosage.json, data/ph-adjustment.json, data/shock-dosage.json",None -- confirmed zero references anywhere in scripts/ or js/ via grep,None -- dead files,Not part of npm run build or any invoked script,N/A,DEAD (neither automatic nor manual -- unreachable),YES (tracked in git),N/A (files themselves are the artifact; nothing else derives from them),NO -- confirmed zero live readers,YES -- these ARE orphaned outputs themselves,N/A,ORPHANED_OUTPUT,"grep -rl across scripts/ and js/ for each filename: zero matches; content describes formulas Phase 7V/7W explicitly removed from the live calculators (numeric pH dose, generic /10000 shock divisor)"
