url,file_path,title,title_length,meta_description_length,h1_count,og_title_present,issues
https://waterbalancetools.com/404,404.html,Page Not Found | WaterBalanceTools,34,130,1,true,none
https://waterbalancetools.com/about/,about/index.html,About WaterBalanceTools | Albor Digital LLC | WaterBalanceTools,63,120,1,true,none
https://waterbalancetools.com/academy/equipment/automatic-chlorinators,academy/equipment/automatic-chlorinators.html,Automatic Chlorinators | Academy | WaterBalanceTools,52,153,1,true,none
https://waterbalancetools.com/academy/equipment/,academy/equipment/index.html,Equipment | Academy | WaterBalanceTools,39,58,1,true,none
https://waterbalancetools.com/academy/equipment/pool-filters,academy/equipment/pool-filters.html,Pool Filters: How They Work | Academy | WaterBalanceTools,57,122,1,true,none
https://waterbalancetools.com/academy/equipment/pool-pumps,academy/equipment/pool-pumps.html,Pool Pumps: Sizing and Turnover | Academy | WaterBalanceTools,61,148,1,true,none
https://waterbalancetools.com/academy/equipment/pool-skimmers,academy/equipment/pool-skimmers.html,Pool Skimmers | Academy | WaterBalanceTools,43,117,1,true,none
https://waterbalancetools.com/academy/equipment/salt-systems,academy/equipment/salt-systems.html,Salt Chlorinator Systems | Academy | WaterBalanceTools,54,155,1,true,none
https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,academy/equipment/sand-vs-cartridge-filters.html,Sand Filters vs. Cartridge Filters | Academy | WaterBalanceTools,64,147,1,true,none
https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,academy/fundamentals/how-temperature-changes-water-chemistry.html,How Temperature Changes Water Chemistry | Academy | WaterBalanceTools,69,129,1,true,TITLE_TOO_LONG
https://waterbalancetools.com/academy/fundamentals/how-water-balance-works,academy/fundamentals/how-water-balance-works.html,How Water Balance Works | Academy | WaterBalanceTools,53,143,1,true,none
https://waterbalancetools.com/academy/fundamentals/,academy/fundamentals/index.html,Fundamentals | Academy | WaterBalanceTools,42,67,1,true,none
https://waterbalancetools.com/academy/fundamentals/indoor-pool-chemistry,academy/fundamentals/indoor-pool-chemistry.html,Indoor Pool Chemistry | Academy | WaterBalanceTools,51,149,1,true,none
https://waterbalancetools.com/academy/fundamentals/pool-vs-hot-tub-chemistry,academy/fundamentals/pool-vs-hot-tub-chemistry.html,Pool vs. Hot Tub Chemistry | Academy | WaterBalanceTools,56,145,1,true,none
https://waterbalancetools.com/academy/fundamentals/the-four-core-water-tests,academy/fundamentals/the-four-core-water-tests.html,The Four Core Water Tests | Academy | WaterBalanceTools,55,121,1,true,none
https://waterbalancetools.com/academy/fundamentals/understanding-pool-water-chemistry,academy/fundamentals/understanding-pool-water-chemistry.html,Understanding Pool Water Chemistry | Academy | WaterBalanceTools,64,105,1,true,none
https://waterbalancetools.com/academy/fundamentals/why-water-testing-matters,academy/fundamentals/why-water-testing-matters.html,Why Water Testing Matters | Academy | WaterBalanceTools,55,128,1,true,none
https://waterbalancetools.com/academy/hot-tubs/daily-spa-maintenance,academy/hot-tubs/daily-spa-maintenance.html,Daily Spa Maintenance | Academy | WaterBalanceTools,51,129,1,true,none
https://waterbalancetools.com/academy/hot-tubs/,academy/hot-tubs/index.html,Hot Tubs &amp; Spas | Academy | WaterBalanceTools,49,57,1,true,none
https://waterbalancetools.com/academy/hot-tubs/monthly-spa-maintenance,academy/hot-tubs/monthly-spa-maintenance.html,Monthly Spa Maintenance | Academy | WaterBalanceTools,53,150,1,true,none
https://waterbalancetools.com/academy/hot-tubs/refilling-your-hot-tub,academy/hot-tubs/refilling-your-hot-tub.html,Refilling Your Hot Tub | Academy | WaterBalanceTools,52,128,1,true,none
https://waterbalancetools.com/academy/hot-tubs/shock-after-heavy-use,academy/hot-tubs/shock-after-heavy-use.html,Shocking a Hot Tub After Heavy Use | Academy | WaterBalanceTools,64,148,1,true,none
