url,issue,current_length,robots,indexability,action,reason
"audit/google/freshness.html","TOO_SHORT","10","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"audit/google/index.html","TOO_SHORT","26","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"qa/certification.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"qa/index.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reference/datasets/hot-tub-ranges/index.html","TOO_SHORT","46","noindex","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/accessibility.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/ai-readiness.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/architecture.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/calculators.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/content.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/datasets.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/entities.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/indexing-intelligence.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/links.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/mobile.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/performance.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/schema.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"reports/seo.html","MISSING","0","noindex, nofollow","NOINDEX","NO_ACTION","Internal QA/audit tooling dashboard, noindex -- not a real content page competing for search intent. Fixing would be effort spent on a page no search engine will ever show, not a genuine SERP/user-value improvement per Step 3's explicit scope limit."
"calculators/volume-calculator.html","CANONICAL_MISMATCH","","","","NO_ACTION","Deliberate url-policy.js REDIRECT_SOURCES entry (noindex + canonical to the live replacement) -- this is the intended, documented Phase 7C architecture, not a defect. Confirmed and cross-linking consistency fixed in Step 8/9 of this phase (see PRODUCTION-CHANGES.md)."
"charts/hot-tub-chemical-levels-chart.html","CANONICAL_MISMATCH","","","","NO_ACTION","Deliberate url-policy.js REDIRECT_SOURCES entry (noindex + canonical to the live replacement) -- this is the intended, documented Phase 7C architecture, not a defect. Confirmed and cross-linking consistency fixed in Step 8/9 of this phase (see PRODUCTION-CHANGES.md)."
"charts/pool-chemical-levels-chart.html","CANONICAL_MISMATCH","","","","NO_ACTION","Deliberate url-policy.js REDIRECT_SOURCES entry (noindex + canonical to the live replacement) -- this is the intended, documented Phase 7C architecture, not a defect. Confirmed and cross-linking consistency fixed in Step 8/9 of this phase (see PRODUCTION-CHANGES.md)."
