url,rel,title,h1,page_type,topics,inbound_links,crawl_depth,indexable,redirect_source,robots,canonical,schema_types,citation_block,citation_links,word_count,description_present
/about,about/index.html,About WaterBalanceTools | Albor Digital LLC | WaterBalanceTools,About WaterBalanceTools,about,general,458,1,true,false,"index, follow",https://waterbalancetools.com/about/,BreadcrumbList|ListItem,false,0,227,true
/academy/equipment/automatic-chlorinators,academy/equipment/automatic-chlorinators.html,Automatic Chlorinators | Academy | WaterBalanceTools,Automatic Chlorinators,academy,chlorine|equipment,10,3,true,false,"index, follow",https://waterbalancetools.com/academy/equipment/automatic-chlorinators,Article|Organization|BreadcrumbList|ListItem,false,0,727,true
/academy/equipment,academy/equipment/index.html,Equipment | Academy | WaterBalanceTools,Equipment,academy,equipment,7,2,true,false,"index, follow",https://waterbalancetools.com/academy/equipment,BreadcrumbList|ListItem,false,0,219,true
/academy/equipment/pool-filters,academy/equipment/pool-filters.html,Pool Filters: How They Work | Academy | WaterBalanceTools,Pool Filters: How They Work,academy,equipment,17,3,true,false,"index, follow",https://waterbalancetools.com/academy/equipment/pool-filters,Article|Organization|BreadcrumbList|ListItem,false,0,750,true
/academy/equipment/pool-pumps,academy/equipment/pool-pumps.html,Pool Pumps: Sizing and Turnover | Academy | WaterBalanceTools,Pool Pumps: Sizing and Turnover,academy,pool-volume|equipment,17,3,true,false,"index, follow",https://waterbalancetools.com/academy/equipment/pool-pumps,Article|Organization|BreadcrumbList|ListItem,false,0,680,true
/academy/equipment/pool-skimmers,academy/equipment/pool-skimmers.html,Pool Skimmers | Academy | WaterBalanceTools,Pool Skimmers,academy,equipment,9,3,true,false,"index, follow",https://waterbalancetools.com/academy/equipment/pool-skimmers,Article|Organization|BreadcrumbList|ListItem,false,0,753,true
/academy/equipment/salt-systems,academy/equipment/salt-systems.html,Salt Chlorinator Systems | Academy | WaterBalanceTools,Salt Chlorinator Systems,academy,chlorine|equipment,13,3,true,false,"index, follow",https://waterbalancetools.com/academy/equipment/salt-systems,Article|Organization|BreadcrumbList|ListItem,false,0,776,true
/academy/equipment/sand-vs-cartridge-filters,academy/equipment/sand-vs-cartridge-filters.html,Sand Filters vs. Cartridge Filters | Academy | WaterBalanceTools,Sand Filters vs. Cartridge Filters,academy,equipment,15,3,true,false,"index, follow",https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,Article|Organization|BreadcrumbList|ListItem,false,0,707,true
/academy/fundamentals/how-temperature-changes-water-chemistry,academy/fundamentals/how-temperature-changes-water-chemistry.html,How Temperature Changes Water Chemistry | Academy | WaterBalanceTools,How Temperature Changes Water Chemistry,academy,chlorine|ph|water-temperature|water-balance,13,3,true,false,"index, follow",https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,Article|Organization|BreadcrumbList|ListItem,false,0,661,true
/academy/fundamentals/how-water-balance-works,academy/fundamentals/how-water-balance-works.html,How Water Balance Works | Academy | WaterBalanceTools,How Water Balance Works,academy,water-balance|equipment,18,3,true,false,"index, follow",https://waterbalancetools.com/academy/fundamentals/how-water-balance-works,Article|Organization|BreadcrumbList|ListItem,false,0,670,true
/academy/fundamentals,academy/fundamentals/index.html,Fundamentals | Academy | WaterBalanceTools,Fundamentals,academy,general,9,2,true,false,"index, follow",https://waterbalancetools.com/academy/fundamentals,BreadcrumbList|ListItem,false,0,311,true
/academy/fundamentals/indoor-pool-chemistry,academy/fundamentals/indoor-pool-chemistry.html,Indoor Pool Chemistry | Academy | WaterBalanceTools,Indoor Pool Chemistry,academy,ph|cyanuric-acid|indoor-pools,10,3,true,false,"index, follow",https://waterbalancetools.com/academy/fundamentals/indoor-pool-chemistry,Article|Organization|BreadcrumbList|ListItem,false,0,977,true
/academy/fundamentals/new-pool-startup-chemistry,academy/fundamentals/new-pool-startup-chemistry.html,New Pool Startup Chemistry (Fresh Fill & New Plaster) | Academy | WaterBalanceTools,New Pool Startup Chemistry (Fresh Fill &amp; New Plaster),academy,equipment,10,3,true,false,"index, follow",https://waterbalancetools.com/academy/fundamentals/new-pool-startup-chemistry,Article|Organization|BreadcrumbList|ListItem,false,0,1063,true
/academy/fundamentals/pool-vs-hot-tub-chemistry,academy/fundamentals/pool-vs-hot-tub-chemistry.html,Pool vs. Hot Tub Chemistry | Academy | WaterBalanceTools,Pool vs. Hot Tub Chemistry,academy,hot-tub-chemistry|testing,15,3,true,false,"index, follow",https://waterbalancetools.com/academy/fundamentals/pool-vs-hot-tub-chemistry,Article|Organization|BreadcrumbList|ListItem,false,0,698,true
/academy/fundamentals/the-four-core-water-tests,academy/fundamentals/the-four-core-water-tests.html,The Four Core Water Tests | Academy | WaterBalanceTools,The Four Core Water Tests,academy,general,19,3,true,false,"index, follow",https://waterbalancetools.com/academy/fundamentals/the-four-core-water-tests,Article|Organization|BreadcrumbList|ListItem,false,0,682,true
