url,file_path,word_count,status,evidence
https://waterbalancetools.com/404,404.html,25,ADSENSE_RISK,"page_type=error: internal tooling / error page, not real user content."
https://waterbalancetools.com/about/,about/index.html,228,ADSENSE_READY,"word_count=228, overall_quality_score=1.8."
https://waterbalancetools.com/academy/equipment/automatic-chlorinators,academy/equipment/automatic-chlorinators.html,724,ADSENSE_READY,"word_count=724, overall_quality_score=2.2."
https://waterbalancetools.com/academy/equipment/,academy/equipment/index.html,219,ADSENSE_READY,"word_count=219, overall_quality_score=1.7."
https://waterbalancetools.com/academy/equipment/pool-filters,academy/equipment/pool-filters.html,747,ADSENSE_REVIEW,"overall_quality_score=1.9, repetition_score=1 -- templated/repetitive content pattern."
https://waterbalancetools.com/academy/equipment/pool-pumps,academy/equipment/pool-pumps.html,677,ADSENSE_READY,"word_count=677, overall_quality_score=2.1."
https://waterbalancetools.com/academy/equipment/pool-skimmers,academy/equipment/pool-skimmers.html,750,ADSENSE_READY,"word_count=750, overall_quality_score=2."
https://waterbalancetools.com/academy/equipment/salt-systems,academy/equipment/salt-systems.html,773,ADSENSE_READY,"word_count=773, overall_quality_score=2.2."
https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,academy/equipment/sand-vs-cartridge-filters.html,704,ADSENSE_READY,"word_count=704, overall_quality_score=2."
https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,academy/fundamentals/how-temperature-changes-water-chemistry.html,650,ADSENSE_READY,"word_count=650, overall_quality_score=2.2."
https://waterbalancetools.com/academy/fundamentals/how-water-balance-works,academy/fundamentals/how-water-balance-works.html,659,ADSENSE_REVIEW,"overall_quality_score=2, repetition_score=1 -- templated/repetitive content pattern."
https://waterbalancetools.com/academy/fundamentals/,academy/fundamentals/index.html,258,ADSENSE_READY,"word_count=258, overall_quality_score=1.8."
https://waterbalancetools.com/academy/fundamentals/indoor-pool-chemistry,academy/fundamentals/indoor-pool-chemistry.html,964,ADSENSE_READY,"word_count=964, overall_quality_score=2."
